,pid,platform,area
0,P01,Sc,O
1,P01,VR,P
2,P01,VR,O
3,P01,VR,All
4,P01,Sc,All
5,P01,Sc,P
6,P02,Sc,O
7,P02,VR,O
8,P02,Sc,P
9,P02,Sc,All
10,P02,VR,All
11,P02,VR,P
12,P04,Sc,O
13,P04,VR,All
14,P04,Sc,All
15,P04,Sc,P
16,P04,VR,P
17,P04,VR,O
18,P05,VR,O
19,P05,VR,P
20,P05,Sc,All
21,P05,Sc,P
22,P05,VR,All
23,P05,Sc,O
24,P06,Sc,P
25,P06,VR,All
26,P06,VR,O
27,P06,VR,P
28,P06,Sc,O
29,P06,Sc,All
30,P07,Sc,All
31,P07,Sc,O
32,P07,VR,All
33,P07,Sc,P
34,P07,VR,O
35,P07,VR,P
36,P08,Sc,All
37,P08,VR,O
38,P08,Sc,O
39,P08,VR,P
40,P08,VR,All
41,P08,Sc,P
42,P09,VR,P
43,P09,Sc,All
44,P09,Sc,O
45,P09,Sc,P
46,P09,VR,O
47,P09,VR,All
48,P10,VR,All
49,P10,Sc,P
50,P10,VR,O
51,P10,VR,P
52,P10,Sc,All
53,P10,Sc,O
54,P11,Sc,All
55,P11,VR,O
56,P11,VR,P
57,P11,VR,All
58,P11,Sc,O
59,P11,Sc,P
60,P12,VR,All
61,P12,VR,P
62,P12,Sc,P
63,P12,Sc,All
64,P12,Sc,O
65,P12,VR,O
